model,dataset,metric,baseline,errorlock,change
qwen25_coder_7b,CASTLE_heldout_50,accuracy,0.6808510638297872,0.58,-0.10085106382978726
qwen25_coder_7b,CASTLE_heldout_50,f1_macro,0.6713286713286714,0.5784825371336813,-0.0928461341949901
qwen25_coder_7b,CASTLE_heldout_50,f1_weighted,0.6748995685165898,0.5784825371336813,-0.09641703138290858
qwen25_coder_7b,CASTLE_heldout_50,fp,10.0,9.0,-1.0
qwen25_coder_7b,CASTLE_heldout_50,fn,5.0,12.0,7.0
qwen25_coder_7b,CASTLE_heldout_50,parsed_rate,0.94,1.0,0.06000000000000005
qwen25_coder_7b,CASTLE_all_250,accuracy,0.6497890295358649,0.632,-0.01778902953586492
qwen25_coder_7b,CASTLE_all_250,f1_macro,0.6096481654198004,0.6296296296296295,0.01998146420982916
qwen25_coder_7b,CASTLE_all_250,f1_weighted,0.6376411364481086,0.6355555555555555,-0.0020855808925530628
qwen25_coder_7b,CASTLE_all_250,fp,53.0,31.0,-22.0
qwen25_coder_7b,CASTLE_all_250,fn,30.0,61.0,31.0
qwen25_coder_7b,CASTLE_all_250,parsed_rate,0.948,1.0,0.052000000000000046
qwen25_coder_7b,Juliet_overlap_250,accuracy,0.6867469879518072,0.824,0.13725301204819274
qwen25_coder_7b,Juliet_overlap_250,f1_macro,0.6622965641952984,0.8217642102534188,0.15946764605812047
qwen25_coder_7b,Juliet_overlap_250,f1_weighted,0.6619316324974399,0.821764210253419,0.15983257775597903
qwen25_coder_7b,Juliet_overlap_250,fp,73.0,36.0,-37.0
qwen25_coder_7b,Juliet_overlap_250,fn,5.0,8.0,3.0
qwen25_coder_7b,Juliet_overlap_250,parsed_rate,0.996,1.0,0.0040000000000000036
