run,model,method,n_test,accuracy,precision,recall,f1,parse_failure_rate,cwe_correct_rate,location_correct_rate
api_gemini_2_5_flash_lite_limit8,gemini-2.5-flash-lite,baseline,5,0.6,1.0,0.5,0.6666666666666666,0.4,0.4,0.0
api_gemini_2_5_flash_lite_limit8,gemini-2.5-flash-lite,errorlock,5,0.8,1.0,0.75,0.8571428571428571,0.4,0.6,0.0
api_gemini_2_5_flash_lite_limit8_smart_safe_gated,gemini-2.5-flash-lite,baseline,5,0.6,0.75,0.75,0.75,0.0,0.6,0.0
api_gemini_2_5_flash_lite_limit8_smart_safe_gated,gemini-2.5-flash-lite,errorlock,5,0.6,0.75,0.75,0.75,0.0,0.6,0.0
api_openrouter_gpt_oss_120b_free_limit20,openai/gpt-oss-120b:free,baseline,12,0.8333333333333334,1.0,0.75,0.8571428571428571,0.3333333333333333,0.5,0.08333333333333333
api_openrouter_gpt_oss_120b_free_limit20,openai/gpt-oss-120b:free,errorlock,12,0.75,1.0,0.625,0.7692307692307693,0.08333333333333333,0.5833333333333334,0.25
api_openrouter_gpt_oss_120b_free_limit20_smart_safe_gated,openai/gpt-oss-120b:free,baseline,12,0.8333333333333334,1.0,0.75,0.8571428571428571,0.3333333333333333,0.5833333333333334,0.16666666666666666
api_openrouter_gpt_oss_120b_free_limit20_smart_safe_gated,openai/gpt-oss-120b:free,errorlock,12,0.9166666666666666,1.0,0.875,0.9333333333333333,0.08333333333333333,0.75,0.25
api_openrouter_gpt_oss_20b_free_limit10,openai/gpt-oss-20b:free,baseline,6,0.6666666666666666,1.0,0.5,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666
api_openrouter_gpt_oss_20b_free_limit10,openai/gpt-oss-20b:free,errorlock,6,0.8333333333333334,1.0,0.75,0.8571428571428571,0.16666666666666666,0.6666666666666666,0.3333333333333333
api_openrouter_gpt_oss_20b_free_limit10_smart_safe_gated,openai/gpt-oss-20b:free,baseline,6,0.6666666666666666,1.0,0.5,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333
api_openrouter_gpt_oss_20b_free_limit10_smart_safe_gated,openai/gpt-oss-20b:free,errorlock,6,0.6666666666666666,1.0,0.5,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333
castle_mock_limit12,mock-rule-detector,baseline,8,0.75,0.8,0.8,0.8,0.0,0.25,0.25
castle_mock_limit12,mock-rule-detector,errorlock,8,0.75,0.8,0.8,0.8,0.0,0.25,0.25
deepseek_coder_1_3b_limit20_smart_safe_gated,deepseek-coder:1.3b,baseline,12,0.5833333333333334,0.6363636363636364,0.875,0.7368421052631579,0.08333333333333333,0.0,0.0
deepseek_coder_1_3b_limit20_smart_safe_gated,deepseek-coder:1.3b,errorlock,12,0.6666666666666666,0.6666666666666666,1.0,0.8,0.0,0.0,0.0
full_c250_deepseek_coder_1_3b_smart_safe_gated,deepseek-coder:1.3b,baseline,150,0.6466666666666666,0.6643356643356644,0.95,0.7818930041152263,0.04,0.0,0.0
full_c250_deepseek_coder_1_3b_smart_safe_gated,deepseek-coder:1.3b,errorlock,150,0.6466666666666666,0.6715328467153284,0.92,0.7763713080168776,0.08,0.02,0.013333333333333334
full_c250_deepseek_coder_1_3b_smart_safe_gated_binary_locked,deepseek-coder:1.3b,baseline,150,0.6466666666666666,0.6643356643356644,0.95,0.7818930041152263,0.04,0.0,0.0
full_c250_deepseek_coder_1_3b_smart_safe_gated_binary_locked,deepseek-coder:1.3b,errorlock,150,0.6466666666666666,0.6598639455782312,0.97,0.7854251012145749,0.013333333333333334,0.02,0.013333333333333334
full_c250_llama3_2_1b_smart_safe_gated,llama3.2:1b,baseline,150,0.46,0.6792452830188679,0.36,0.47058823529411764,0.0,0.22,0.22
full_c250_llama3_2_1b_smart_safe_gated,llama3.2:1b,errorlock,150,0.4533333333333333,0.6730769230769231,0.35,0.4605263157894737,0.006666666666666667,0.22,0.22
full_c250_llama3_2_1b_smart_safe_gated_binary_locked,llama3.2:1b,baseline,150,0.46,0.6792452830188679,0.36,0.47058823529411764,0.0,0.22,0.22
full_c250_llama3_2_1b_smart_safe_gated_binary_locked,llama3.2:1b,errorlock,150,0.46,0.6792452830188679,0.36,0.47058823529411764,0.0,0.22,0.22
full_c250_openrouter_gpt_oss_120b_free_rag_timeout60,openai/gpt-oss-120b:free,baseline,150,0.5933333333333334,0.8305084745762712,0.49,0.6163522012578616,0.20666666666666667,0.43333333333333335,0.2
full_c250_openrouter_gpt_oss_120b_free_rag_timeout60,openai/gpt-oss-120b:free,errorlock,150,0.6666666666666666,0.8472222222222222,0.61,0.7093023255813954,0.05333333333333334,0.52,0.23333333333333334
